"Points:0","Points:1","Points:2","Pressure","Velocity:0","Velocity:1"
7.85818672e+00, 4.43433255e-01, 0.00000000e+00, 6.49594247e-01, 1.87266695e+00, -3.87993408e-04
7.80826044e+00, 4.43610668e-01, 0.00000000e+00, 6.57140791e-01, 1.86940324e+00, -1.68659398e-03
7.75833416e+00, 4.43788111e-01, 0.00000000e+00, 6.63859904e-01, 1.86635101e+00, -2.07076035e-03
7.70840788e+00, 4.43965524e-01, 0.00000000e+00, 6.71548665e-01, 1.86303163e+00, -1.11223059e-03
7.65848160e+00, 4.44142967e-01, 0.00000000e+00, 6.79963470e-01, 1.85925221e+00, -8.61708249e-04
7.60855484e+00, 4.44320381e-01, 0.00000000e+00, 6.87647045e-01, 1.85560918e+00, -1.24065671e-03
7.55862856e+00, 4.44497824e-01, 0.00000000e+00, 6.95500553e-01, 1.85214031e+00, -9.59260738e-04
7.50870228e+00, 4.44675237e-01, 0.00000000e+00, 7.03959107e-01, 1.84826040e+00, -7.05041632e-04
7.45877600e+00, 4.44852680e-01, 0.00000000e+00, 7.12013602e-01, 1.84437251e+00, -1.04321423e-03
9.65553570e+00, 4.37045813e-01, 0.00000000e+00, 3.62828404e-01, 1.98429334e+00, -7.02533056e-04
9.65697861e+00, 4.53376442e-01, 0.00000000e+00, 3.62160385e-01, 1.53357625e+00, -3.05203634e-04
9.60560989e+00, 4.37223256e-01, 0.00000000e+00, 3.70088220e-01, 1.98114216e+00, -1.55779510e-03
9.60708332e+00, 4.53507870e-01, 0.00000000e+00, 3.69558483e-01, 1.53108323e+00, -8.71112919e-04
9.55568314e+00, 4.37400699e-01, 0.00000000e+00, 3.77128750e-01, 1.97839439e+00, -1.92094478e-03
